Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
IDUA,MPS1,ENSG00000127415,"Iduronidase, alpha-L-",4,986997-1004506,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB025901, HPA046979, HPA054254",Enhanced,,Supported,Vesicles,"Renal cancer:7.87e-5 (unfavourable), Urothelial cancer:8.04e-5 (favourable), Colorectal cancer:3.13e-4 (unfavourable)",Expressed in all,Expressed in all,,,spleen: 16.5,Cell line enhanced,,U-266/70: 43.1
IFIH1,"Hlcd, IDDM19, MDA-5, MDA5",ENSG00000115267,Interferon induced with helicase C domain 1,2,162267079-162318703,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA002656,Approved,,,,,Expressed in all,Mixed,,,spleen: 31.1,Cell line enhanced,,BJ hTERT+ SV40 Large T+: 72.5;BJ hTERT+ SV40 Large T+ RasG12V: 93.7
IGF1R,"CD221, IGFIR, IGFR, JTK13, MGC18216",ENSG00000140443,Insulin like growth factor 1 receptor,15,98648971-98964530,"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins",Evidence at protein level,"CAB010268, HPA045563",Uncertain,,Uncertain,Vesicles,Renal cancer:3.75e-7 (favourable),Expressed in all,Mixed,,,prostate: 25.0,Mixed,,
IGHMBP2,"CATF1, CMT2S, HCSA, HMN6, SMARD1, SMUBP2, ZFAND7",ENSG00000132740,Immunoglobulin mu binding protein 2,11,68903842-68940602,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA060994,,,Approved,Nucleus,"Renal cancer:1.29e-8 (unfavourable), Pancreatic cancer:5.89e-4 (favourable)",Expressed in all,Expressed in all,,,testis: 27.9,Expressed in all,,
IKBKB,"IKK-beta, IKK2, IKKB, NFKBIKB",ENSG00000104365,Inhibitor of nuclear factor kappa B kinase subunit beta,8,42271302-42332653,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins",Evidence at protein level,"HPA001249, CAB004447",Enhanced,,Approved,Cytosol,Urothelial cancer:1.46e-6 (favourable),Expressed in all,Mixed,,,parathyroid gland: 18.7,Expressed in all,,
IKBKE,"IKK-i, IKKE, KIAA0151",ENSG00000263528,Inhibitor of nuclear factor kappa B kinase subunit epsilon,1,206470476-206496889,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA015788, CAB025983",Approved,,Supported,Cytosol,Renal cancer:5.34e-7 (unfavourable),Expressed in all,Mixed,,,lymph node: 27.4,Mixed,,
IL4I1,FIG1,ENSG00000104951,Interleukin 4 induced 1,19,49889654-49929539,"Enzymes, Predicted secreted proteins",Evidence at protein level,HPA045598,Enhanced,,,,"Renal cancer:1.23e-10 (unfavourable), Glioma:1.85e-4 (unfavourable)",Expressed in all,Tissue enhanced,,appendix: 24.5;testis: 32.0,lymph node: 10.5,Cell line enhanced,,EFO-21: 31.1;HDLM-2: 55.9;Karpas-707: 33.8
ILK,,ENSG00000166333,Integrin linked kinase,11,6603708-6610874,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB004041, HPA048437",Enhanced,,Enhanced,Cell Junctions<br>Focal adhesion sites,Renal cancer:2.44e-4 (favourable),Expressed in all,Expressed in all,,,seminal vesicle: 558.8,Expressed in all,,
ILKAP,"DKFZP434J2031, FLJ10181, PPM1O",ENSG00000132323,ILK associated serine/threonine phosphatase,2,238170401-238203729,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA004752, HPA056099",Uncertain,,Approved,Nucleoplasm,"Renal cancer:9.89e-6 (unfavourable), Liver cancer:1.04e-4 (unfavourable)",Expressed in all,Expressed in all,,,testis: 28.0,Expressed in all,,
IMMP1L,"FLJ25059, IMMP1",ENSG00000148950,Inner mitochondrial membrane peptidase subunit 1,11,31432401-31509645,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA058308,Approved,,,,"Pancreatic cancer:6.72e-4 (favourable), Liver cancer:7.97e-4 (unfavourable)",Expressed in all,Expressed in all,,,epididymis: 39.2,Expressed in all,,
IMMP2L,"IMMP2L-IT1, IMP2",ENSG00000184903,Inner mitochondrial membrane peptidase subunit 2,7,110663051-111562517,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA026711,Approved,,Approved,Mitochondria,Head and neck cancer:1.89e-5 (unfavourable),Expressed in all,Expressed in all,,,thyroid gland: 39.4,Expressed in all,,
IMPA1,IMPA,ENSG00000133731,Inositol monophosphatase 1,8,81657961-81686693,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA037489,Approved,,Approved,Nucleoplasm<br>Mitochondria,,Expressed in all,Expressed in all,,,testis: 72.0,Expressed in all,,
IMPA2,,ENSG00000141401,Inositol monophosphatase 2,18,11981025-12030883,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA029561,Approved,,Approved,Nucleoplasm<br>Mitochondria,Renal cancer:0.00e+0 (favourable),Expressed in all,Expressed in all,,,skin: 129.8,Cell line enhanced,,BEWO: 240.8;SiHa: 163.4
IMPAD1,"FLJ20421, gPAPP, IMPA3",ENSG00000104331,Inositol monophosphatase domain containing 1,8,56957933-56993844,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA009411,Supported,,Supported,Nucleus<br>Golgi apparatus<br>Cytosol,,Expressed in all,Expressed in all,,,parathyroid gland: 52.7,Expressed in all,,
IMPDH1,"LCA11, RP10, sWSS2608",ENSG00000106348,Inosine monophosphate dehydrogenase 1,7,128392277-128410252,"Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins",Evidence at protein level,HPA001400,Approved,,Supported,Cytosol<br>Rods & Rings,"Renal cancer:1.78e-12 (unfavourable), Liver cancer:1.12e-7 (unfavourable), Urothelial cancer:3.72e-5 (unfavourable), Glioma:1.17e-4 (unfavourable), Cervical cancer:3.87e-4 (unfavourable)",Expressed in all,Expressed in all,,,adipose tissue: 47.2,Expressed in all,,
IMPDH2,,ENSG00000178035,Inosine monophosphate dehydrogenase 2,3,49024325-49029408,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA001400, CAB020717",Approved,,Enhanced,Cytosol<br>Rods & Rings,Liver cancer:3.22e-4 (unfavourable),Expressed in all,Expressed in all,,,ovary: 422.5,Expressed in all,,
INMT,,ENSG00000241644,Indolethylamine N-methyltransferase,7,30697985-30757602,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA061343,,,Approved,Golgi apparatus<br>Vesicles,Liver cancer:5.72e-4 (favourable),Tissue enhanced,Tissue enhanced,,lung: 144.8,seminal vesicle: 66.2,Group enriched,6,CACO-2: 13.8;HHSteC: 5.7
INO80,"hINO80, Ino80, INO80A, INOC1, KIAA1259",ENSG00000128908,INO80 complex subunit,15,40978880-41116354,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA041417, HPA041484",,,Enhanced,Nucleoplasm<br>Nuclear bodies,Renal cancer:6.30e-4 (favourable),Expressed in all,Expressed in all,,,parathyroid gland: 18.2,Expressed in all,,
INPP1,,ENSG00000151689,Inositol polyphosphate-1-phosphatase,2,190343470-190371665,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA036698, HPA036699",Supported,,Approved,Vesicles,"Thyroid cancer:1.12e-5 (favourable), Urothelial cancer:5.70e-4 (favourable)",Expressed in all,Expressed in all,,,testis: 73.6,Mixed,,
INPP4A,INPP4,ENSG00000040933,Inositol polyphosphate-4-phosphatase type I A,2,98444854-98594390,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA001628,Approved,,Approved,Nucleus<br>Nuclear membrane,Endometrial cancer:3.70e-6 (unfavourable),Expressed in all,Expressed in all,,,cerebral cortex: 38.7,Expressed in all,,
INPP4B,,ENSG00000109452,Inositol polyphosphate-4-phosphatase type II B,4,142023160-142847432,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA037681, HPA037682",Approved,,Approved,Centrosome,Pancreatic cancer:1.03e-4 (unfavourable),Mixed,Mixed,,,testis: 33.2,Cell line enhanced,,CAPAN-2: 132.1
INPP5A,5PTASE,ENSG00000068383,Inositol polyphosphate-5-phosphatase A,10,132537820-132783480,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA012285, HPA066549",Enhanced,,Approved,Cytosol,"Renal cancer:3.15e-4 (favourable), Breast cancer:7.47e-4 (unfavourable)",Expressed in all,Expressed in all,,,smooth muscle: 60.9,Expressed in all,,
INPP5B,,ENSG00000204084,Inositol polyphosphate-5-phosphatase B,1,37860697-37947057,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA028803,Approved,,Approved,Cytosol,"Renal cancer:6.11e-5 (unfavourable), Head and neck cancer:1.11e-4 (favourable), Pancreatic cancer:5.33e-4 (favourable)",Expressed in all,Expressed in all,,,ovary: 26.3,Expressed in all,,
INPP5D,"hp51CN, SHIP, SHIP1",ENSG00000168918,Inositol polyphosphate-5-phosphatase D,2,233059967-233207903,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB016300, HPA070455",Uncertain,,Approved,Cytosol,Head and neck cancer:2.03e-5 (favourable),Expressed in all,Mixed,,,lymph node: 39.3,Cell line enhanced,,HEL: 84.8;HMC-1: 83.7;hTCEpi: 63.0;NB-4: 56.4
INPP5E,"CORS1, JBTS1, pharbin, PPI5PIV",ENSG00000148384,Inositol polyphosphate-5-phosphatase E,9,136428619-136439823,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA065758,Approved,,,,Pancreatic cancer:1.82e-4 (favourable),Expressed in all,Expressed in all,,,testis: 15.9,Expressed in all,,
INPP5F,"hSac2, KIAA0966, SAC2",ENSG00000198825,Inositol polyphosphate-5-phosphatase F,10,119726097-119829278,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,,Expressed in all,Expressed in all,,,cerebral cortex: 132.0,Expressed in all,,
INPP5J,"INPP5, PIB5PA, PIPP",ENSG00000185133,Inositol polyphosphate-5-phosphatase J,22,31122731-31134696,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA034539,,,Approved,Nucleoli<br>Cytosol,"Renal cancer:1.12e-7 (favourable), Lung cancer:1.47e-5 (favourable)",Tissue enriched,Group enriched,10,parathyroid gland: 215.4;thyroid gland: 242.1,small intestine: 22.4,Cell line enhanced,,HL-60: 15.5;SK-BR-3: 30.3;T-47d: 24.0
INPP5K,SKIP,ENSG00000132376,Inositol polyphosphate-5-phosphatase K,17,1494571-1516888,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA031044,Uncertain,,,,"Pancreatic cancer:1.47e-6 (favourable), Endometrial cancer:2.33e-5 (favourable), Cervical cancer:3.91e-4 (favourable)",Expressed in all,Expressed in all,,,adipose tissue: 32.2,Expressed in all,,
INPPL1,SHIP2,ENSG00000165458,Inositol polyphosphate phosphatase like 1,11,72223701-72239105,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA037601,Approved,,Supported,Golgi apparatus<br>Cytosol,Liver cancer:7.37e-4 (unfavourable),Expressed in all,Expressed in all,,,spleen: 64.3,Expressed in all,,
INSR,CD220,ENSG00000171105,Insulin receptor,19,7112255-7294034,"CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins",Evidence at protein level,"HPA036302, HPA036303",Uncertain,,Approved,Vesicles,,Expressed in all,Expressed in all,,,ovary: 35.5,Cell line enhanced,,Karpas-707: 42.9
INSRR,IRR,ENSG00000027644,Insulin receptor related receptor,1,156840063-156859018,"Enzymes, Predicted membrane proteins",Evidence at protein level,HPA025285,Uncertain,,,,,Not detected,Tissue enhanced,,adrenal gland: 1.8;kidney: 1.4;testis: 2.2,prostate: 0.6,Group enriched,10,SCLC-21H: 5.5;SH-SY5Y: 17.2
IP6K1,"IHPK1, KIAA0263",ENSG00000176095,Inositol hexakisphosphate kinase 1,3,49724294-49786542,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA040825,Approved,,Supported,Nucleus<br>Nucleoli fibrillar center<br>Cytosol,"Renal cancer:5.77e-5 (favourable), Head and neck cancer:2.08e-4 (favourable), Pancreatic cancer:6.85e-4 (favourable)",Expressed in all,Expressed in all,,,cerebral cortex: 47.5,Expressed in all,,
IP6K2,IHPK2,ENSG00000068745,Inositol hexakisphosphate kinase 2,3,48688003-48740353,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA007532, HPA070811",Approved,,Approved,Nucleus<br>Nucleoli fibrillar center<br>Cell Junctions,"Breast cancer:1.25e-4 (favourable), Urothelial cancer:1.83e-4 (favourable), Lung cancer:2.95e-4 (favourable)",Expressed in all,Expressed in all,,,epididymis: 131.1,Expressed in all,,
IP6K3,"IHPK3, INSP6K3",ENSG00000161896,Inositol hexakisphosphate kinase 3,6,33721670-33746905,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA053644,Approved,,Approved,Nucleoplasm<br>Cytosol,Renal cancer:6.09e-4 (unfavourable),Mixed,Tissue enhanced,,skeletal muscle: 32.4;thyroid gland: 21.9,heart muscle: 9.1,Cell line enhanced,,HHSteC: 18.4;LHCN-M2: 30.1;RH-30: 15.3
IPMK,,ENSG00000151151,Inositol polyphosphate multikinase,10,58191517-58267934,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA037837, HPA057542",Uncertain,,Enhanced,Nucleus,Renal cancer:9.96e-7 (unfavourable),Expressed in all,Mixed,,,parathyroid gland: 28.3,Mixed,,
IPPK,"C9orf12, FLJ13163, INSP5K2, IP5K, IPK1",ENSG00000127080,Inositol-pentakisphosphate 2-kinase,9,92613184-92670265,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA020603,Uncertain,,Approved,Cytosol,Urothelial cancer:1.28e-4 (unfavourable),Mixed,Mixed,,,skin: 34.2,Expressed in all,,
IRAK1,"IRAK, pelle",ENSG00000184216,Interleukin 1 receptor associated kinase 1,X,154010500-154019980,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"CAB004461, HPA054476",Supported,,Supported,Nucleus<br>Cytosol,"Renal cancer:2.06e-4 (unfavourable), Liver cancer:3.03e-4 (unfavourable)",Expressed in all,Expressed in all,,,appendix: 51.0,Expressed in all,,
IRAK2,,ENSG00000134070,Interleukin 1 receptor associated kinase 2,3,10164865-10243743,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"CAB013483, HPA050520",Uncertain,,Approved,Vesicles,"Urothelial cancer:6.60e-5 (favourable), Pancreatic cancer:2.26e-4 (unfavourable), Liver cancer:8.35e-4 (unfavourable)",Expressed in all,Mixed,,,bone marrow: 14.6,Cell line enhanced,,BEWO: 31.5;BJ hTERT+: 28.0;CAPAN-2: 30.8;RT4: 38.6
IRAK3,IRAK-M,ENSG00000090376,Interleukin 1 receptor associated kinase 3,12,66188879-66254622,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA043097,Approved,,Approved,Vesicles,Renal cancer:6.23e-4 (unfavourable),Mixed,Tissue enhanced,,bone marrow: 51.0,adipose tissue: 19.3,Cell line enhanced,,HEL: 20.3;HL-60: 24.1;THP-1: 24.3;U-937: 20.5
IRAK4,NY-REN-64,ENSG00000198001,Interleukin 1 receptor associated kinase 4,12,43758944-43789543,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB016685, CAB022077",Uncertain,,Approved,Nucleoli<br>Microtubules<br>Cytosol,"Endometrial cancer:3.46e-5 (favourable), Urothelial cancer:4.42e-5 (favourable)",Expressed in all,Mixed,,,lymph node: 20.3,Expressed in all,,
IRF2BP1,"DKFZP434M154, IRF-2BP1",ENSG00000170604,Interferon regulatory factor 2 binding protein 1,19,45883607-45886170,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA042164, HPA049480",Approved,,Supported,Nucleoplasm,"Renal cancer:3.85e-5 (favourable), Pancreatic cancer:2.32e-4 (favourable)",Expressed in all,Expressed in all,,,cerebral cortex: 13.2,Expressed in all,,
ISG20,"CD25, HEM45",ENSG00000172183,Interferon stimulated exonuclease gene 20,15,88636153-88656483,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,"Renal cancer:4.86e-8 (unfavourable), Ovarian cancer:1.85e-5 (favourable), Glioma:3.12e-5 (unfavourable)",Expressed in all,Tissue enhanced,,lymph node: 221.4,spleen: 136.2,Cell line enhanced,,Daudi: 151.0;SK-MEL-30: 543.4
ISYNA1,"Ino1, INOS, IPS",ENSG00000105655,Inositol-3-phosphate synthase 1,19,18434388-18438301,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA007931, HPA008232, CAB020720",Enhanced,,Approved,Nucleus<br>Cytosol,Renal cancer:9.23e-4 (unfavourable),Expressed in all,Tissue enhanced,,testis: 117.3,placenta: 63.8,Cell line enhanced,,BEWO: 475.1
ITCH,AIP4,ENSG00000078747,Itchy E3 ubiquitin protein ligase,20,34363235-34511393,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA021126, HPA049032",Supported,,Supported,Nucleoplasm,,Expressed in all,Expressed in all,,,testis: 73.2,Expressed in all,,
ITK,"EMT, LYK, PSCTK2",ENSG00000113263,IL2 inducible T-cell kinase,5,157142933-157255191,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,,,,,,,Mixed,Tissue enhanced,,appendix: 20.2;lymph node: 33.2;tonsil: 22.3,spleen: 14.0,Cell line enhanced,,HDLM-2: 3.2;HEL: 3.4;HMC-1: 3.8;MOLT-4: 18.7
ITPA,"C20orf37, dJ794I6.3, HLC14-06-P",ENSG00000125877,Inosine triphosphatase,20,3208868-3223870,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA022824,Approved,,Supported,Cytosol,Liver cancer:2.54e-5 (unfavourable),Expressed in all,Expressed in all,,,fallopian tube: 40.3,Expressed in all,,
ITPK1,,ENSG00000100605,Inositol-tetrakisphosphate 1-kinase,14,92936914-93116320,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA055230,Approved,,Approved,Mitochondria,Endometrial cancer:8.56e-4 (favourable),Expressed in all,Expressed in all,,,cerebral cortex: 93.1,Expressed in all,,
ITPKA,"IP3-3KA, IP3KA",ENSG00000137825,Inositol-trisphosphate 3-kinase A,15,41493393-41503551,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA040454,Enhanced,Approved,Approved,Vesicles,"Renal cancer:3.76e-9 (unfavourable), Glioma:5.08e-4 (unfavourable)",Mixed,Tissue enhanced,,cerebral cortex: 25.7;duodenum: 17.7;small intestine: 19.8,stomach: 8.9,Cell line enhanced,,Hep G2: 22.6
ITPKB,"IP3-3KB, IP3KB",ENSG00000143772,Inositol-trisphosphate 3-kinase B,1,226631690-226739323,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA030273, HPA072923",Uncertain,,Approved,Nucleus,"Head and neck cancer:1.72e-5 (favourable), Lung cancer:6.65e-4 (favourable)",Expressed in all,Expressed in all,,,cerebral cortex: 61.6,Cell line enhanced,,SK-MEL-30: 36.3
ITPKC,"IP3-3KC, IP3KC",ENSG00000086544,Inositol-trisphosphate 3-kinase C,19,40717103-40740860,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA050760, HPA053003",Approved,,Supported,Nuclear speckles,Lung cancer:4.91e-4 (unfavourable),Expressed in all,Expressed in all,,,esophagus: 69.3,Mixed,,
